Id,preco
0,1353687.0037944175
1,282326.5112008784
2,558369.7724323947
3,195000.0
4,280252.68691723834
5,337253.2253909224
6,651705.6945559131
7,313005.5143043099
8,295000.0
9,1019323.7304657138
10,543333.3333333334
11,473433.8243575965
12,1044142.8571428572
13,340956.95271227125
14,770711.633339924
15,496311.62204986514
16,346333.3333333333
17,458000.0
18,343536.58536585374
19,1067109.087121668
20,898185.2754713021
21,250751.97661678426
22,290000.0
23,390960.6614646126
24,324054.0769264154
25,386916.44987358083
26,366666.6666666667
27,560000.0
28,797872.2232669136
29,1259955.0072576278
30,333333.3333333333
31,1263811.423626097
32,1281220.440846414
33,1212094.4106069612
34,1195000.0
35,349397.3935373467
36,480000.0
37,1514377.5097405585
38,457549.89915717236
39,508657.1295927162
40,2179306.6235355777
41,716522.7383780148
42,352641.92336404376
43,1358428.1408857713
44,1287783.750224968
45,324103.2477051571
46,2419029.256344421
47,660793.3284988626
48,224262.40080737794
49,431672.1164613673
50,580000.0
51,342500.0
52,900000.0
53,788171.4751874643
54,949638.6828346475
55,281508.31971991743
56,644782.1911797366
57,374689.80839089456
58,1233954.1587148232
59,936109.1050088784
60,2764500.0
61,650000.0
62,1544962.0
63,3942532.586697097
64,470000.0
65,400000.0
66,529471.1167026423
67,89457691.23324342
68,900000.0
69,398947.15934948996
70,1174932.0510658827
71,303600.20274662477
72,471937.89985542616
73,398981.8856981135
74,299068.817586543
75,2777160.1696239673
76,352068.4557680491
77,350000.0
78,270045.73138144956
79,657819.0423438054
80,550000.1421997435
81,419999.2433284417
82,308612.5925714722
83,1726846.7390634099
84,4662498.900830493
85,268464.1173717739
86,455500.0
87,550000.0
88,366666.6666666667
89,385000.0
90,390000.0
91,733401.7961809341
92,300801.6120151058
93,280000.0
94,180000.0
95,869277.3055875693
96,860000.0
97,1568545.9814954621
98,441874.887638454
99,630000.0
100,458000.0
101,386167.556029888
102,1231270.491729731
103,945000.0
104,562387.2063801284
105,1063206.67724665
106,840066.6666668567
107,1016615.544325866
108,330739.3777556044
109,605000.0
110,418031.96250835265
111,694854.9432792583
112,268630.62114860024
113,406029.4359048835
114,876339.2426530096
115,351272.4896077372
116,506571.08565337624
117,3808029.1309288847
118,995684.8473432853
119,292320.43478261324
120,4878919.319347771
121,324740.1897521549
122,621573.5532493086
123,310000.0
124,334670.741297207
125,663995.2122269686
126,393171.1111689179
127,1537734.9419009897
128,333041.7999999729
129,1051604.3854508635
130,1155216.362461666
131,2963448.862327411
132,499889.15015414613
133,1538170.3387528306
134,1197500.0
135,637702.3746609332
136,509905.5343309915
137,2973355.9090368324
138,718823.3168276069
139,397800.0000000329
140,1598274.1085913535
141,414545.29527102056
142,440000.0
143,1276914.750951224
144,377622.9699053389
145,477694.29985975055
146,348500.4108463443
147,1400000.0
148,494535.40160009137
149,1066250.0
150,462352.9411764738
151,557854.3963996208
152,1027787.3037959717
153,764500.0
154,393334.0866802333
155,396148.41915178444
156,621848.9714534819
157,344013.8602607767
158,497616.1692538167
159,2672295.391970245
160,1054726.9569780251
161,487799.0046237888
162,1827499.8876211476
163,530000.0
164,344388.39603579463
165,357032.0
166,690000.0
167,549147.1163245122
168,412174.7531463621
169,1246686.955458958
170,647324.7064375983
171,428954.2492958128
172,608855.5183946174
173,803205.9851589571
174,560000.0
175,1781144.9796432685
176,938407.1037716687
177,369500.0
178,1297032.3931401914
179,245500.0
180,999119.827868953
181,362513.39050676225
182,2160505.9520386485
183,630074.7926814626
184,719556.1212037876
185,405500.0
186,668163.2377899796
187,491023.8694775955
188,1562519.4006347917
189,345516.12903226237
190,1203069.1904641364
191,1215777.9701126227
192,390798.8480384667
193,374777.3576378519
194,245930.6665355579
195,795958.8505606792
196,281318.47550018074
197,1047217.0326381775
198,334306.0390243912
199,586286.889879407
200,950000.0
201,428571.42857144366
202,550000.0
203,1414706.5639091174
204,744220.195362763
205,318191.99919044686
206,220000.0
207,397000.0
208,1741383.262609918
209,1790782.059383717
210,803422.7500807336
211,5800000.0
212,517285.59620411106
213,660000.0
214,1464944.4282988296
215,353732.28282828303
216,340000.0
217,550000.0
218,600000.0
219,290000.0
220,612419.279363681
221,1162500.0
222,1989196.9033336588
223,301053.9258402658
224,290579.409430992
225,521262.55322252295
226,340000.0
227,661702.3080686432
228,1340498.8113791288
229,692522.7874496622
230,398675.0
231,489282.3652553342
232,288502.7586206618
233,684333.3333333334
234,407752.06900441163
235,272000.0
236,1017675.5193320696
237,1441363.0873454793
238,1153333.3333333333
239,440000.0
240,957740.9477520684
241,369333.33333334286
242,518085.53971487307
243,463521.1267605518
244,847780.6031453909
245,402857.14285714284
246,727129.1468802494
247,550000.0
248,455495.8384742697
249,860000.0
250,991016.4295921704
251,393625.73315396626
252,591527.7777777638
253,528025.7274387756
254,592884.8882050049
255,593310.4520415696
256,366545.72224681044
257,985441.8001270902
258,1959344.0535402894
259,1050156.7935673778
260,620340.0
261,663506.1766571469
262,296744.21921213035
263,741308.7719926279
264,263106.14393447683
265,356413.71205975476
266,396367.6377337897
267,633924.278770513
268,430891.93208384456
269,1197500.0
270,367400.34098123986
271,1071336.0874838193
272,653999.4
273,507500.0
274,503000.0
275,373482.6493160833
276,346445.5844631732
277,1371060.7110652644
278,366545.72224681044
279,1156105.6069135568
280,285000.0
281,1229058.485778623
282,348750.0
283,371925.89955024596
284,1267857.142857143
285,2104883.077057761
286,347525.7006445659
287,827428.9497628427
288,610000.0
289,1017884.7316016752
290,1068762.7070919112
291,1200000.0
292,1111787.20402671
293,690000.0
294,2101389.04339154
295,365588.04024636606
296,413392.39205050905
297,1026222.2222221956
298,349441.85971017147
299,550000.0
300,732379.9528476341
301,766857.142857143
302,420000.0
303,545024.2231508547
304,350000.0
305,468910.80017633724
306,350000.0
307,466750.44279459515
308,414237.122438997
309,622373.2185582805
310,220000.0
311,1815268.4749970422
312,1650821.59181046
313,487500.0
314,334639.95962358295
315,1249980.4104873082
316,1400001.1357135735
317,1518713.465792984
318,362154.29403199255
319,415714.4939654722
320,340000.0
321,1280081.1369249625
322,1757420.9762417194
323,420963.7838501347
324,354013.7614157689
325,530726.1868115332
326,449554.26356589247
327,2350000.0
328,1509744.103787935
329,384160.464262808
330,750000.0
331,377091.0983719374
332,704952.2537004153
333,997165.2874216036
334,1251000.0
335,495000.0
